id,name,alt_name,region,country,latitude,longitude,type,GEOIDFQ,PLACENAME,AREATYPE,COMMENT
AK221,Larsen Bay,Uyaqsaq,Alaska,US,57.54,-153.979,community,1600000US0243040,Larsen Bay city,Incorporated place,
AK222,Last Tetlin Village,,Alaska,US,63.0332,-142.616,community,,,,
AK223,Latouche,,Alaska,US,60.0511,-147.9,community,,,,
AK225,Lena Beach,,Alaska,US,58.393,-134.746,community,,,,
AK226,Levelock,Liivlek,Alaska,US,59.115,-156.857,community,1600000US0243810,Levelock CDP,Census designated place,
AK227,Libbyville,,Alaska,US,58.7781,-157.056,community,,,,
AK228,Lime Village,Hekdichen Hdakaq',Alaska,US,61.3564,-155.436,community,1600000US0244030,Lime Village CDP,Census designated place,
AK229,Livengood,,Alaska,US,65.5244,-148.545,community,1600000US0244580,Livengood CDP,Census designated place,
AK23,Atka,Atx̂ax̂,Alaska,US,52.191,-174.189,community,1600000US0204210,Atka city,Incorporated place,
AK230,Loring,,Alaska,US,55.603,-131.632,community,1600000US0245020,Loring CDP,Census designated place,
AK231,Lower Kalskag,Qalqaq,Alaska,US,61.5122,-160.358,community,1600000US0245460,Lower Kalskag city,Incorporated place,
AK232,Lower Tonsina,Kentsii Cae'e,Alaska,US,61.655,-144.659,community,,,,
AK233,Lucky Shot Landing,,Alaska,US,61.7751,-149.408,community,,,,
AK234,Manley Hot Springs,Too Naaleł Denh,Alaska,US,65.0011,-150.634,community,1600000US0246780,Manley Hot Springs CDP,Census designated place,
AK235,Manokotak,Manuquutaq,Alaska,US,58.9796,-159.053,community,1600000US0246890,Manokotak city,Incorporated place,
AK236,Mansfield Village,Dihthâad,Alaska,US,63.4672,-143.433,community,,,,
AK237,Marshall,Masserculleq,Alaska,US,61.8778,-162.081,community,1600000US0247000,Marshall city,Incorporated place,
AK238,Marys Igloo,,Alaska,US,65.1478,-165.063,community,,,,
AK239,Matanuska,,Alaska,US,61.5421,-149.229,community,,,,
AK24,Atmautluak,Atmaulluaq,Alaska,US,60.8641,-162.2723,community,1600000US0204430,Atmautluak CDP,Census designated place,
AK240,McCarthy,,Alaska,US,61.4333,-142.922,community,1600000US0245790,McCarthy CDP,Census designated place,
AK241,McGrath,Tochak’,Alaska,US,62.9564,-155.596,community,1600000US0246010,McGrath city,Incorporated place,
AK242,McKinley Park Airport,,Alaska,US,63.7331,-148.9111,community,,,,
AK243,Meakerville,,Alaska,US,60.5421,-145.008,community,,,,
AK244,Medfra,,Alaska,US,63.1067,-154.714,community,,,,
AK245,Mekoryuk,Mikuryar,Alaska,US,60.388,-166.185,community,1600000US0247990,Mekoryuk city,Incorporated place,
AK246,Mendeltna,,Alaska,US,62.0487,-146.5386,community,1600000US0248200,Mendeltna CDP,Census designated place,
AK247,Mentasta Lake,Mendaesde,Alaska,US,62.9212,-143.792,community,1600000US0248540,Mentasta Lake CDP,Census designated place,
AK248,Metlakatla,Maxłakxaała,Alaska,US,55.1292,-131.572,community,1600000US0248870,Metlakatla CDP,Census designated place,
AK249,Meyers Chuck,,Alaska,US,55.7408,-132.256,community,,,,
AK25,Atqasuk,,Alaska,US,70.4694,-157.396,community,1600000US0204500,Atqasuk city,Incorporated place,
AK250,Minto,,Alaska,US,65.1496,-149.3504,community,1600000US0249530,Minto CDP,Census designated place,
AK251,Moose Pass,,Alaska,US,60.4876,-149.367,community,1600000US0250190,Moose Pass CDP,Census designated place,
AK252,Morzhovoi,,Alaska,US,54.91,-163.303,community,,,,
AK254,Mountain Village,Asaacaryaraq,Alaska,US,62.0884,-163.72,community,1600000US0251180,Mountain Village city,Incorporated place,
AK256,Nabesna,Naambia Niign Daacheeg,Alaska,US,62.3719,-143.009,community,1600000US0251960,Nabesna CDP,Census designated place,
AK257,Nakeen,,Alaska,US,58.9361,-157.038,community,,,,
AK258,Naknek,Nakniq,Alaska,US,58.7283,-157.014,community,1600000US0252060,Naknek CDP,Census designated place,
AK259,Nanwalek,English Bay,Alaska,US,59.354,-151.916,community,1600000US0252210,Nanwalek CDP,Census designated place,
AK26,Attu,,Alaska,US,52.9365,173.24,community,1600000US0204670,Attu Station CDP,Census designated place,
AK261,Napakiak,Naparyarraq,Alaska,US,60.6967,-161.952,community,1600000US0252390,Napakiak city,Incorporated place,
AK262,Napaimute,,Alaska,US,61.54,-158.674,community,,,,
AK263,Napaskiak,Napaskiaq,Alaska,US,60.708,-161.766,community,1600000US0252720,Napaskiak city,Incorporated place,
AK265,Nelchina,,Alaska,US,61.996,-146.8203,community,1600000US0252915,Nelchina CDP,Census designated place,
AK266,Nelson Lagoon,Niilsanam Alĝuudaa,Alaska,US,56.0012,-161.201,community,1600000US0252940,Nelson Lagoon CDP,Census designated place,
AK267,Nenana,Toghotili,Alaska,US,64.5638,-149.093,community,1600000US0253050,Nenana city,Incorporated place,
AK268,New Knockhock,,Alaska,US,62.1291,-164.894,community,,,,
AK269,New Stuyahok,Cetuyaraq,Alaska,US,59.4528,-157.312,community,1600000US0253710,New Stuyahok city,Incorporated place,
AK27,Auke Bay,,Alaska,US,58.383,-134.657,community,,,,
AK270,Newhalen,Nuuriileng,Alaska,US,59.72,-154.897,community,1600000US0253270,Newhalen city,Incorporated place,
AK271,Newtok,Niugtaq,Alaska,US,60.9427,-164.629,community,1600000US0253820,Newtok CDP,Census designated place,
AK272,Nightmute,Negtemiut,Alaska,US,60.4794,-164.724,community,1600000US0253930,Nightmute city,Incorporated place,
AK273,Nikiski,,Alaska,US,60.6394,-151.334,community,1600000US0254050,Nikiski CDP,Census designated place,
AK274,Nikolaevsk,,Alaska,US,59.8109,-151.623,community,1600000US0254085,Nikolaevsk CDP,Census designated place,
AK275,Nikolai,Nikolai,Alaska,US,63.0133,-154.375,community,1600000US0254150,Nikolai city,Incorporated place,
AK276,Nikolski,Chalukax̂,Alaska,US,52.938,-168.868,community,1600000US0254260,Nikolski CDP,Census designated place,
AK277,Nilikluguk,,Alaska,US,60.6501,-165.15,community,,,,
AK278,Ninilchik,,Alaska,US,60.0514,-151.669,community,1600000US0254480,Ninilchik CDP,Census designated place,
AK279,Noatak,Nuataam Kuuŋa,Alaska,US,67.5711,-162.965,community,1600000US0254700,Noatak CDP,Census designated place,
AK28,Ayakulik,,Alaska,US,57.2113,-154.546,community,,,,
AK280,Nome,Sitŋasuaq,Alaska,US,64.5107,-165.4447,community,1600000US0254920,Nome city,Incorporated place,
AK281,Nondalton,Nundaltin,Alaska,US,59.9736,-154.846,community,1600000US0255030,Nondalton city,Incorporated place,
AK282,Noorvik,Nuurvik,Alaska,US,66.8383,-161.033,community,1600000US0255140,Noorvik city,Incorporated place,
AK283,North Pole,,Alaska,US,64.7511,-147.349,community,1600000US0255910,North Pole city,Incorporated place,
AK284,Northway,K’ehtthiign,Alaska,US,62.9616,-141.937,community,1600000US0256220,Northway CDP,Census designated place,
AK285,Northway Indian Village,,Alaska,US,62.9832,-141.949,community,,,,
AK286,Northway Junction,,Alaska,US,63.0173,-141.792,community,,,,
AK287,Nuiqsut,Nuiqsat,Alaska,US,70.2175,-150.976,community,1600000US0256320,Nuiqsut city,Incorporated place,
AK288,Nulato,Noolaaghe Doh,Alaska,US,64.7194,-158.103,community,1600000US0256350,Nulato city,Incorporated place,
AK289,Nunam Iqua,Sheldon Point,Alaska,US,62.5336,-164.841,community,1600000US0256600,Nunam Iqua city,Incorporated place,
AK29,Baranof Warm Springs,,Alaska,US,57.0895,-134.8337,community,,,,
AK290,Nunapitchuk,Nunapicuar,Alaska,US,60.8969,-162.459,community,1600000US0256680,Nunapitchuk city,Incorporated place,
AK291,Nyac,,Alaska,US,61.0061,-159.946,community,,,,
AK292,Ohogamiut,Urr'agmiut,Alaska,US,61.5677,-161.864,community,,,,
AK293,Old Harbor,Nuniaq,Alaska,US,57.2028,-153.304,community,1600000US0257340,Old Harbor city,Incorporated place,
AK294,Old Minto,Menhti Xwghotthit,Alaska,US,64.8882,-149.182,community,,,,
AK295,Ophir,,Alaska,US,63.1447,-156.519,community,,,,
AK296,Oscarville,Kuiggayagaq,Alaska,US,60.7273,-161.79,community,1600000US0258330,Oscarville CDP,Census designated place,
AK297,Osviak,,Alaska,US,58.8171,-161.3,community,,,,
AK298,Ouzinkie,Uusenkaa,Alaska,US,57.9236,-152.496,community,1600000US0258550,Ouzinkie city,Incorporated place,
AK299,Paimiut,Paimute,Alaska,US,61.6971,-165.83,community,,,,
AK3,Akiachak,Akiacuar,Alaska,US,60.9094,-161.431,community,1600000US0200760,Akiachak CDP,Census designated place,
AK300,Palmer,,Alaska,US,61.5997,-149.113,community,1600000US0258660,Palmer city,Incorporated place,
AK301,Pastolik,,Alaska,US,62.9972,-163.304,community,,,,
AK302,Pauloff Harbor,,Alaska,US,54.4589,-162.7,community,,,,
AK303,Paxson,,Alaska,US,63.033,-145.4979,community,1600000US0259320,Paxson CDP,Census designated place,
AK304,Pedro Bay,,Alaska,US,59.7914,-154.098,community,1600000US0259540,Pedro Bay CDP,Census designated place,
AK305,Pelican,K'udeis'x̱'e,Alaska,US,57.9608,-136.227,community,1600000US0259650,Pelican city,Incorporated place,
AK306,Pennock Island,,Alaska,US,55.328,-131.628,community,,,,
AK307,Perryville,Perry-q,Alaska,US,55.9119,-159.166,community,1600000US0260200,Perryville CDP,Census designated place,
AK308,Petersburg,Séet Ká,Alaska,US,56.8125,-132.955,community,1600000US0260310,Petersburg CDP,Census designated place,
AK309,Petersville,,Alaska,US,62.373,-150.7332,community,1600000US0260460,Petersville CDP,Census designated place,
AK31,Beaver,Ts'aahudaaneekk'onh Denh,Alaska,US,66.3594,-147.396,community,1600000US0205750,Beaver CDP,Census designated place,
AK310,Pile Bay Village,,Alaska,US,59.7789,-153.8819,community,,,,
AK311,Pilot Point,Agisaq,Alaska,US,57.5641,-157.579,community,1600000US0260640,Pilot Point city,Incorporated place,
AK312,Pilot Station,Tuutalgaq,Alaska,US,61.9389,-162.875,community,1600000US0260750,Pilot Station city,Incorporated place,
AK313,Pitkas Point,Negeqliim Painga,Alaska,US,62.0328,-163.288,community,1600000US0260860,Pitkas Point CDP,Census designated place,
AK314,Platinum,Arviiq,Alaska,US,59.013,-161.816,community,1600000US0261080,Platinum city,Incorporated place,
AK315,Point Baker,,Alaska,US,56.3528,-133.621,community,1600000US0261190,Point Baker CDP,Census designated place,
AK316,Point Hope,Tikiġaq,Alaska,US,68.34801,-166.734,community,1600000US0261630,Point Hope city,Incorporated place,
AK317,Point Lay,Kali,Alaska,US,69.7574,-163.051,community,1600000US0261700,Point Lay CDP,Census designated place,
AK318,Poorman,,Alaska,US,64.0991,-155.544,community,,,,
AK319,Port Alexander,,Alaska,US,56.2497,-134.644,community,1600000US0262510,Port Alexander city,Incorporated place,
AK32,Belkofski,Taxtamax̂,Alaska,US,55.0905,-162.034,community,,,,
AK320,Port Alsworth,,Alaska,US,60.2025,-154.313,community,1600000US0262620,Port Alsworth CDP,Census designated place,
AK321,Port Ashton,,Alaska,US,60.0581,-148.05,community,,,,
